               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11859,            0.043471,                   0,          0.00095238,             0.28571,          0.00089351,          0.00019051,            0.064132,            0.017745,                   0,              0.0919,              0.0009,              0.0009
                   1,            0.089864,            0.049788,                   0,             0.38183,             0.57143,               0.598,             0.17585,            0.038572,            0.014308,                   0,            0.082895,           0.0018953,           0.0018953
                   2,            0.069465,            0.044827,                   0,             0.35546,             0.57143,             0.52415,             0.23837,            0.037627,            0.033374,                   0,            0.073886,           0.0028856,           0.0028856
                   3,            0.059313,            0.035226,                   0,                   1,             0.68334,             0.79551,             0.47305,            0.029593,            0.016039,                   0,            0.064871,            0.003871,            0.003871
                   4,            0.056845,            0.031532,                   0,             0.82174,             0.66459,             0.82928,             0.56222,            0.030168,           0.0091052,                   0,            0.055851,           0.0048515,           0.0048515
                   5,            0.056126,            0.028382,                   0,             0.21466,             0.85714,              0.2605,             0.10096,            0.045207,           0.0063491,                   0,            0.046827,            0.005827,            0.005827
                   6,            0.056481,            0.027302,                   0,             0.96248,             0.57143,             0.75139,             0.43502,            0.035886,           0.0048892,                   0,            0.037798,           0.0067975,           0.0067975
                   7,             0.05985,            0.027042,                   0,             0.81518,             0.85714,              0.8713,             0.41801,            0.031904,           0.0044022,                   0,            0.028763,           0.0077631,           0.0077631
                   8,            0.053798,            0.025509,                   0,             0.56754,             0.85714,              0.7129,             0.30173,            0.037739,           0.0037692,                   0,            0.019724,           0.0087238,           0.0087238
                   9,            0.052386,             0.02538,                   0,             0.64394,             0.85714,             0.89625,             0.37047,            0.030966,           0.0036764,                   0,            0.010679,           0.0096795,           0.0096795
                  10,            0.049868,            0.024139,                   0,             0.54291,             0.57143,             0.63194,              0.2938,            0.039537,           0.0039842,                   0,           0.0097525,           0.0097525,           0.0097525
                  11,            0.047353,            0.023157,                   0,             0.85281,             0.85714,               0.953,             0.67678,            0.021414,           0.0032685,                   0,           0.0097525,           0.0097525,           0.0097525
                  12,            0.041035,            0.022473,                   0,             0.74351,             0.85714,             0.87157,              0.4102,            0.024515,           0.0032644,                   0,           0.0097278,           0.0097278,           0.0097278
                  13,            0.040097,            0.020707,                   0,             0.62671,                   1,             0.88576,             0.57925,            0.024281,            0.003083,                   0,            0.009703,            0.009703,            0.009703
                  14,            0.036075,            0.021938,                   0,             0.69518,                   1,             0.82814,             0.53127,            0.025219,            0.003011,                   0,           0.0096783,           0.0096783,           0.0096783
                  15,            0.035511,             0.02162,                   0,             0.77157,             0.96808,             0.93278,              0.6678,            0.017338,           0.0028114,                   0,           0.0096535,           0.0096535,           0.0096535
                  16,            0.033492,            0.019897,                   0,              0.8715,                   1,                0.96,             0.63255,            0.023227,           0.0028062,                   0,           0.0096288,           0.0096288,           0.0096288
                  17,            0.033023,            0.017445,                   0,             0.98855,                   1,               0.995,              0.6247,            0.017395,           0.0021553,                   0,            0.009604,            0.009604,            0.009604
                  18,            0.031231,            0.017816,                   0,             0.92976,             0.85714,             0.96389,             0.56125,            0.026006,           0.0026324,                   0,           0.0095793,           0.0095793,           0.0095793
                  19,            0.030136,            0.017911,                   0,             0.99298,                   1,               0.995,             0.69801,            0.015707,           0.0026639,                   0,           0.0095545,           0.0095545,           0.0095545
                  20,            0.028513,            0.017825,                   0,             0.98978,                   1,               0.995,             0.80335,            0.016874,           0.0023298,                   0,           0.0095298,           0.0095298,           0.0095298
                  21,            0.028822,            0.016714,                   0,                   1,             0.99915,               0.995,             0.79789,            0.014367,           0.0025849,                   0,            0.009505,            0.009505,            0.009505
                  22,            0.027803,            0.017766,                   0,              0.7763,                   1,             0.94389,             0.52776,            0.021193,           0.0026042,                   0,           0.0094803,           0.0094803,           0.0094803
                  23,            0.027705,            0.017004,                   0,              0.9935,                   1,               0.995,             0.60825,            0.017411,           0.0022058,                   0,           0.0094555,           0.0094555,           0.0094555
                  24,            0.027212,            0.017424,                   0,              0.9926,                   1,               0.995,             0.75243,            0.013971,           0.0020471,                   0,           0.0094307,           0.0094307,           0.0094307
                  25,            0.025291,            0.016575,                   0,             0.99375,                   1,               0.995,             0.78993,            0.012145,           0.0019903,                   0,            0.009406,            0.009406,            0.009406
                  26,            0.025949,            0.017484,                   0,             0.86953,                   1,                0.96,             0.70847,            0.015115,           0.0023408,                   0,           0.0093813,           0.0093813,           0.0093813
                  27,            0.024448,             0.01689,                   0,             0.99362,                   1,               0.995,             0.80727,            0.012483,           0.0021019,                   0,           0.0093565,           0.0093565,           0.0093565
                  28,            0.025377,            0.016445,                   0,             0.99419,                   1,               0.995,             0.60326,            0.017731,           0.0019641,                   0,           0.0093317,           0.0093317,           0.0093317
                  29,            0.025274,            0.015407,                   0,             0.99066,                   1,               0.995,              0.7929,            0.012272,           0.0018651,                   0,            0.009307,            0.009307,            0.009307
                  30,            0.024366,            0.015979,                   0,             0.99193,                   1,               0.995,             0.80876,            0.014272,            0.001965,                   0,           0.0092823,           0.0092823,           0.0092823
                  31,              0.0238,            0.015239,                   0,             0.99354,                   1,               0.995,             0.86975,            0.010754,           0.0020087,                   0,           0.0092575,           0.0092575,           0.0092575
                  32,            0.022585,            0.016905,                   0,             0.99382,                   1,               0.995,             0.77965,             0.01143,           0.0021155,                   0,           0.0092327,           0.0092327,           0.0092327
                  33,            0.022076,            0.015125,                   0,             0.99242,                   1,               0.995,             0.85425,            0.010639,           0.0017805,                   0,            0.009208,            0.009208,            0.009208
                  34,             0.02255,            0.015878,                   0,             0.99233,                   1,               0.995,             0.82096,            0.013533,           0.0018973,                   0,           0.0091833,           0.0091833,           0.0091833
                  35,            0.020463,            0.015735,                   0,             0.99497,                   1,               0.995,             0.82484,           0.0094667,            0.002121,                   0,           0.0091585,           0.0091585,           0.0091585
                  36,            0.021391,            0.014163,                   0,             0.99283,                   1,               0.995,             0.72317,            0.015102,           0.0021291,                   0,           0.0091337,           0.0091337,           0.0091337
                  37,            0.021241,            0.014412,                   0,             0.99129,                   1,               0.995,             0.81434,            0.010479,           0.0024729,                   0,            0.009109,            0.009109,            0.009109
                  38,             0.02149,            0.014087,                   0,             0.99347,                   1,               0.995,             0.74034,            0.013509,           0.0020518,                   0,           0.0090843,           0.0090843,           0.0090843
                  39,            0.021947,            0.014441,                   0,             0.99411,                   1,               0.995,             0.89702,            0.010286,           0.0016575,                   0,           0.0090595,           0.0090595,           0.0090595
                  40,            0.022187,            0.015699,                   0,             0.99259,                   1,               0.995,             0.75631,            0.011904,           0.0019233,                   0,           0.0090347,           0.0090347,           0.0090347
                  41,            0.018871,            0.014225,                   0,             0.99298,                   1,               0.995,             0.86143,            0.008987,           0.0016537,                   0,             0.00901,             0.00901,             0.00901
                  42,             0.02134,            0.014495,                   0,              0.9925,                   1,               0.995,             0.86081,           0.0097938,           0.0017805,                   0,           0.0089853,           0.0089853,           0.0089853
                  43,            0.020323,            0.014437,                   0,             0.99269,                   1,               0.995,             0.88804,             0.01021,           0.0017426,                   0,           0.0089605,           0.0089605,           0.0089605
                  44,            0.020031,            0.013603,                   0,              0.9928,                   1,               0.995,             0.87228,           0.0097774,           0.0018015,                   0,           0.0089358,           0.0089358,           0.0089358
                  45,            0.019757,            0.013161,                   0,             0.99294,                   1,               0.995,             0.83955,            0.010762,           0.0017827,                   0,            0.008911,            0.008911,            0.008911
                  46,            0.019445,            0.014009,                   0,             0.99267,                   1,               0.995,             0.89686,           0.0091012,           0.0017264,                   0,           0.0088863,           0.0088863,           0.0088863
                  47,            0.019557,            0.014337,                   0,             0.99366,                   1,               0.995,              0.9074,           0.0093258,           0.0014987,                   0,           0.0088615,           0.0088615,           0.0088615
                  48,            0.019019,            0.013609,                   0,             0.99377,                   1,               0.995,             0.90587,           0.0081664,           0.0015635,                   0,           0.0088368,           0.0088368,           0.0088368
                  49,            0.019139,            0.013048,                   0,             0.99361,                   1,               0.995,             0.86078,           0.0090974,           0.0015535,                   0,            0.008812,            0.008812,            0.008812
                  50,            0.019553,            0.013232,                   0,             0.99372,                   1,               0.995,             0.80332,            0.011674,           0.0016782,                   0,           0.0087872,           0.0087872,           0.0087872
                  51,            0.018972,            0.013141,                   0,             0.99398,                   1,               0.995,             0.92082,           0.0076234,           0.0016146,                   0,           0.0087625,           0.0087625,           0.0087625
