               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11468,            0.045604,            0.041326,              0.0025,                 0.5,            0.024875,           0.0024875,             0.06925,            0.020855,             0.02558,              0.0964,              0.0004,              0.0004
                   1,             0.10551,            0.048833,            0.040518,           0.0023585,                 0.5,            0.031094,           0.0093281,            0.057778,            0.017634,            0.024802,            0.091898,          0.00089777,          0.00089777
                   2,            0.090171,            0.053843,            0.041285,           0.0054071,                   1,             0.14096,            0.063144,            0.040169,            0.016297,            0.024133,            0.087393,           0.0013931,           0.0013931
                   3,             0.07879,            0.049109,            0.038146,             0.17098,                   1,             0.74625,             0.34825,            0.033347,            0.014473,            0.025085,            0.082886,           0.0018859,           0.0018859
                   4,            0.069817,            0.052128,            0.037608,            0.039375,                 0.5,            0.081462,            0.045968,            0.041382,            0.014205,            0.027246,            0.078376,           0.0023762,           0.0023762
                   5,            0.069776,            0.038788,            0.037267,             0.36299,                   1,             0.62187,             0.21641,            0.040917,            0.016762,            0.029691,            0.073864,           0.0028641,           0.0028641
                   6,             0.06259,            0.036824,            0.036258,             0.44327,                   1,             0.62187,             0.42288,            0.032288,            0.015572,            0.028317,             0.06935,           0.0033495,           0.0033495
                   7,            0.060401,            0.037506,             0.03565,              0.4855,                   1,             0.62187,             0.41458,            0.030552,            0.013537,            0.028235,            0.064832,           0.0038324,           0.0038324
                   8,            0.057024,            0.033479,            0.035555,             0.26473,                   1,             0.74625,             0.25428,            0.037662,            0.011594,            0.026349,            0.060313,           0.0043129,           0.0043129
                   9,             0.05662,            0.035529,            0.034902,             0.31967,                   1,             0.66333,             0.26533,            0.038292,            0.011067,            0.024527,            0.055791,           0.0047909,           0.0047909
                  10,            0.055032,            0.028589,            0.034208,             0.87306,                 0.5,               0.995,              0.4975,            0.033458,            0.010077,            0.024243,            0.051266,           0.0052663,           0.0052663
                  11,             0.05449,            0.031123,            0.033081,             0.90457,                 0.5,             0.66333,             0.53067,            0.031563,           0.0088589,            0.023868,            0.046739,           0.0057394,           0.0057394
                  12,            0.056788,            0.029232,            0.033148,             0.92175,                 0.5,               0.995,             0.29876,            0.034891,           0.0074914,            0.022733,             0.04221,           0.0062099,           0.0062099
                  13,            0.057263,            0.025935,            0.032084,             0.85338,                 0.5,               0.995,             0.32337,            0.038983,           0.0062516,            0.021872,            0.037678,            0.006678,            0.006678
                  14,            0.056749,            0.029145,            0.030681,             0.26264,                   1,               0.995,             0.31094,            0.040632,           0.0058854,            0.020782,            0.033144,           0.0071436,           0.0071436
                  15,            0.052319,              0.0254,            0.027976,              0.2794,                   1,              0.4975,             0.33167,            0.034718,           0.0053217,            0.019418,            0.028607,           0.0076067,           0.0076067
                  16,            0.055523,            0.025988,            0.024976,             0.56221,                   1,               0.995,             0.56591,            0.025158,           0.0042822,            0.016722,            0.024067,           0.0080674,           0.0080674
                  17,            0.058792,            0.026383,            0.022194,             0.45012,                   1,             0.74625,              0.2995,            0.044494,           0.0036411,            0.016379,            0.019526,           0.0085255,           0.0085255
                  18,             0.06133,            0.025739,            0.020596,             0.29608,                   1,              0.4975,             0.32337,            0.042809,           0.0040164,            0.016086,            0.014981,           0.0089812,           0.0089812
                  19,            0.058021,            0.025565,            0.017767,             0.43388,                   1,               0.995,             0.42811,            0.035564,           0.0045216,            0.010007,            0.010434,           0.0094345,           0.0094345
