               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091932,            0.029036,            0.036543,             0.36957,             0.49645,             0.40663,             0.16927,            0.049723,             0.01492,            0.031427,            0.070238,           0.0033069,           0.0033069
                   1,            0.062055,            0.020111,            0.023627,             0.52466,             0.66196,             0.59381,             0.25831,            0.051708,            0.011823,            0.015368,            0.040216,           0.0066183,           0.0066183
                   2,            0.060667,            0.017359,            0.010829,             0.75368,             0.71416,             0.79485,             0.43754,            0.047921,            0.011487,            0.004131,            0.010172,           0.0099077,           0.0099077
                   3,            0.050751,            0.016411,           0.0048597,             0.91594,              0.8376,             0.90425,              0.5582,            0.036995,            0.010547,            0.003447,            0.009901,            0.009901,            0.009901
                   4,            0.042908,             0.01551,           0.0036397,             0.91231,             0.87266,             0.91913,             0.53899,            0.035327,           0.0094962,           0.0026256,            0.009901,            0.009901,            0.009901
                   5,            0.038917,            0.014455,           0.0033709,             0.95817,             0.88165,             0.93566,             0.60554,            0.031712,           0.0094523,           0.0024097,            0.009868,            0.009868,            0.009868
                   6,            0.036636,            0.014174,           0.0030632,              0.9828,             0.89837,             0.95111,             0.66205,            0.027425,           0.0084777,           0.0017337,            0.009835,            0.009835,            0.009835
                   7,            0.034543,            0.013733,           0.0027936,             0.96891,             0.91171,             0.94939,             0.68828,            0.024048,           0.0081148,           0.0019565,            0.009802,            0.009802,            0.009802
                   8,            0.032719,               0.013,           0.0026844,             0.97749,             0.92284,             0.94861,             0.70134,            0.024137,           0.0078855,           0.0019352,            0.009769,            0.009769,            0.009769
                   9,            0.031856,            0.013073,           0.0024279,             0.98134,             0.91052,             0.94792,             0.67452,            0.024707,           0.0078115,            0.001774,            0.009736,            0.009736,            0.009736
                  10,            0.030762,            0.012745,           0.0024375,             0.98524,             0.92171,             0.95439,             0.72605,            0.020741,           0.0077226,           0.0021158,            0.009703,            0.009703,            0.009703
                  11,            0.029702,            0.012404,           0.0021884,             0.96935,             0.91926,             0.94714,              0.7531,            0.020289,           0.0074191,           0.0025444,             0.00967,             0.00967,             0.00967
                  12,            0.028911,            0.012173,           0.0021577,             0.97181,             0.92864,             0.95468,             0.74623,            0.019476,           0.0070758,           0.0016317,            0.009637,            0.009637,            0.009637
                  13,            0.028145,             0.01201,           0.0021239,             0.98915,              0.9275,             0.95485,              0.7471,            0.019263,           0.0070496,           0.0016863,            0.009604,            0.009604,            0.009604
                  14,            0.027659,            0.011833,           0.0019372,             0.97752,             0.92469,             0.95011,              0.7526,            0.018804,            0.006954,           0.0017197,            0.009571,            0.009571,            0.009571
                  15,            0.026569,            0.011576,            0.001856,             0.96973,             0.92552,             0.95769,             0.77162,            0.017474,           0.0068848,           0.0015494,            0.009538,            0.009538,            0.009538
                  16,            0.026569,            0.011686,           0.0017326,             0.99173,             0.93988,             0.96735,             0.78265,            0.016585,           0.0065079,           0.0012855,            0.009505,            0.009505,            0.009505
                  17,             0.02604,            0.011337,           0.0017069,             0.99282,             0.92248,             0.96177,             0.77982,            0.017495,           0.0065556,           0.0016414,            0.009472,            0.009472,            0.009472
                  18,            0.025306,            0.011028,           0.0018432,             0.97566,              0.9339,              0.9607,             0.77615,            0.016429,            0.006216,           0.0023859,            0.009439,            0.009439,            0.009439
                  19,            0.024847,            0.011109,            0.001808,             0.99108,             0.93727,             0.96436,             0.78421,            0.016434,           0.0062904,           0.0015857,            0.009406,            0.009406,            0.009406
                  20,            0.024631,            0.011102,           0.0017097,             0.99579,             0.94141,             0.96433,             0.79405,            0.015886,           0.0061772,           0.0010976,            0.009373,            0.009373,            0.009373
                  21,            0.023536,            0.010583,            0.001563,             0.99542,             0.93562,             0.96264,             0.80292,            0.015753,           0.0059814,           0.0013358,             0.00934,             0.00934,             0.00934
                  22,            0.023301,            0.010537,           0.0015311,             0.99079,             0.94603,             0.96642,             0.79909,            0.015325,           0.0058277,           0.0010985,            0.009307,            0.009307,            0.009307
                  23,            0.023324,            0.010728,           0.0014085,             0.98667,             0.93972,              0.9643,              0.8047,            0.015027,           0.0059433,           0.0014379,            0.009274,            0.009274,            0.009274
                  24,             0.02284,            0.010377,           0.0014108,             0.98845,             0.94066,             0.96484,             0.80401,            0.015317,           0.0057631,           0.0010818,            0.009241,            0.009241,            0.009241
                  25,            0.022504,            0.010436,           0.0014775,               0.987,             0.94658,             0.96677,             0.81884,            0.014548,            0.005723,           0.0013771,            0.009208,            0.009208,            0.009208
                  26,            0.022418,            0.010351,            0.001646,             0.99145,             0.93639,             0.96597,             0.80077,            0.015561,           0.0060911,           0.0013944,            0.009175,            0.009175,            0.009175
                  27,             0.02236,            0.010123,            0.001424,             0.97995,              0.9462,             0.96731,             0.79706,            0.015655,           0.0062201,           0.0010883,            0.009142,            0.009142,            0.009142
