               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.046053,            0.030733,            0.019084,             0.84895,             0.80526,             0.85857,             0.64947,            0.022847,            0.010725,            0.010548,            0.070476,           0.0032804,           0.0032804
                   1,            0.034739,            0.016551,           0.0064316,             0.89555,              0.8484,             0.91994,             0.51877,            0.035344,           0.0098486,           0.0051338,             0.04046,           0.0065974,           0.0065974
                   2,            0.037317,            0.015754,           0.0057223,             0.84679,             0.88759,             0.91785,             0.54926,            0.033581,            0.009532,           0.0049158,            0.010427,           0.0098979,           0.0098979
                   3,            0.035436,            0.014571,           0.0048513,             0.98807,             0.94557,              0.9675,             0.68301,            0.025787,           0.0088196,            0.003364,           0.0099258,           0.0099258,           0.0099258
                   4,            0.032564,             0.01357,           0.0039395,             0.99182,             0.93909,             0.97041,             0.75468,            0.021345,           0.0082893,           0.0030802,           0.0099258,           0.0099258,           0.0099258
                   5,            0.030753,            0.013308,           0.0033087,              0.9656,             0.95004,             0.97566,             0.71475,            0.025927,           0.0079565,           0.0024153,            0.009901,            0.009901,            0.009901
                   6,            0.029009,             0.01285,           0.0026973,             0.98948,             0.95148,             0.97577,             0.76883,            0.019417,            0.007556,           0.0023938,           0.0098763,           0.0098763,           0.0098763
                   7,            0.027424,            0.012186,           0.0027259,             0.98991,             0.95253,             0.97534,             0.77484,            0.019658,             0.00741,           0.0024137,           0.0098515,           0.0098515,           0.0098515
                   8,            0.026436,            0.012452,           0.0025035,             0.98766,             0.96562,             0.98273,             0.81594,            0.018415,            0.007329,            0.001504,           0.0098268,           0.0098268,           0.0098268
                   9,            0.026624,            0.012132,           0.0023413,             0.98714,             0.96209,             0.97949,             0.78206,            0.018466,           0.0071249,            0.001965,            0.009802,            0.009802,            0.009802
                  10,            0.024833,             0.01162,           0.0022336,             0.98728,             0.94889,             0.97736,              0.8053,            0.016274,           0.0069847,           0.0026284,           0.0097773,           0.0097773,           0.0097773
                  11,            0.024501,            0.011568,           0.0024813,             0.99155,             0.96445,             0.97792,             0.79646,            0.016962,           0.0069637,           0.0016733,           0.0097525,           0.0097525,           0.0097525
                  12,            0.024042,            0.011441,            0.002065,             0.98429,             0.97266,             0.97828,             0.81597,            0.015963,           0.0068116,           0.0015883,           0.0097278,           0.0097278,           0.0097278
                  13,            0.024052,            0.011415,           0.0018486,              0.9953,             0.96453,             0.98245,             0.81019,            0.015865,           0.0066738,           0.0013667,            0.009703,            0.009703,            0.009703
                  14,            0.022788,            0.011353,           0.0018866,              0.9879,             0.98032,             0.98357,             0.81662,            0.015406,            0.006495,           0.0015726,           0.0096783,           0.0096783,           0.0096783
                  15,            0.022921,            0.010837,           0.0018482,             0.99114,             0.95945,             0.97666,             0.82117,            0.016001,           0.0066757,           0.0026486,           0.0096535,           0.0096535,           0.0096535
                  16,            0.022055,            0.010685,           0.0020208,             0.96892,              0.9656,             0.98187,              0.8626,            0.013215,           0.0063758,           0.0020792,           0.0096288,           0.0096288,           0.0096288
                  17,             0.02219,            0.010747,           0.0016511,             0.99115,             0.96335,             0.97938,             0.81786,            0.016408,           0.0065465,           0.0012849,            0.009604,            0.009604,            0.009604
                  18,            0.021859,            0.010823,           0.0019013,              0.9916,             0.96374,             0.98288,             0.84672,            0.013433,           0.0064883,           0.0015809,           0.0095793,           0.0095793,           0.0095793
                  19,            0.021579,            0.010573,           0.0015426,             0.99158,             0.97112,             0.98256,             0.84331,            0.014102,            0.006165,           0.0014628,           0.0095545,           0.0095545,           0.0095545
                  20,            0.020415,            0.010369,           0.0016834,             0.98796,             0.96444,             0.98189,             0.84864,            0.013334,           0.0060701,           0.0017442,           0.0095298,           0.0095298,           0.0095298
                  21,             0.02079,            0.010349,           0.0015675,             0.98397,             0.96582,             0.98529,             0.85594,            0.013607,           0.0061121,           0.0016492,            0.009505,            0.009505,            0.009505
