               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090631,            0.028551,            0.036892,             0.16439,             0.45513,              0.2378,            0.092989,            0.065491,            0.016052,            0.034167,            0.070275,           0.0033028,           0.0033028
                   1,            0.059538,            0.019107,            0.031402,             0.60438,             0.62069,             0.64008,             0.32583,            0.050344,            0.011455,            0.023555,            0.040253,           0.0066142,           0.0066142
                   2,            0.058208,            0.015928,            0.018037,             0.54589,             0.65487,             0.58643,             0.27496,            0.056909,            0.011328,           0.0092002,            0.010209,           0.0099036,           0.0099036
                   3,            0.049607,            0.014102,           0.0098245,             0.95352,             0.80196,             0.89006,             0.47785,            0.039912,           0.0087142,           0.0054913,            0.009901,            0.009901,            0.009901
                   4,             0.04208,            0.013085,           0.0075707,             0.98765,             0.81924,             0.90915,             0.56071,            0.031309,           0.0096591,           0.0045912,            0.009901,            0.009901,            0.009901
                   5,            0.038363,            0.012648,            0.006661,             0.96899,             0.84103,             0.91354,             0.55463,            0.031298,           0.0080278,           0.0038559,            0.009868,            0.009868,            0.009868
                   6,             0.03559,             0.01195,           0.0059749,             0.96402,             0.85807,              0.9321,             0.60543,            0.028954,           0.0073984,           0.0037288,            0.009835,            0.009835,            0.009835
                   7,            0.034298,            0.011685,           0.0055823,             0.97437,             0.87488,             0.93906,             0.69289,            0.023861,           0.0070002,           0.0033667,            0.009802,            0.009802,            0.009802
                   8,             0.03236,             0.01142,           0.0052747,             0.98459,             0.87624,             0.94129,             0.68426,            0.023342,           0.0067244,           0.0035537,            0.009769,            0.009769,            0.009769
                   9,            0.031657,            0.011091,           0.0053296,             0.95818,             0.90578,             0.95754,             0.70755,            0.021598,           0.0066285,           0.0026703,            0.009736,            0.009736,            0.009736
                  10,            0.030322,            0.010837,            0.004654,             0.98568,             0.87065,             0.95663,             0.70863,            0.022166,           0.0069475,           0.0025679,            0.009703,            0.009703,            0.009703
                  11,            0.029318,            0.010487,           0.0045236,             0.98379,             0.87934,             0.95673,             0.74867,            0.018741,           0.0064025,           0.0024899,             0.00967,             0.00967,             0.00967
                  12,            0.028622,            0.010608,           0.0043286,             0.98677,             0.82565,              0.9366,             0.72202,            0.020206,           0.0072572,           0.0028193,            0.009637,            0.009637,            0.009637
                  13,            0.028095,            0.010286,           0.0043361,             0.97837,             0.87986,             0.94916,             0.74934,            0.018709,           0.0064728,           0.0028756,            0.009604,            0.009604,            0.009604
                  14,            0.027365,            0.010251,           0.0040826,             0.98608,             0.89716,             0.95576,             0.74835,            0.019238,           0.0062573,           0.0022907,            0.009571,            0.009571,            0.009571
                  15,            0.026858,            0.010134,           0.0037789,             0.97992,             0.87693,             0.95688,             0.75875,            0.016508,           0.0063956,           0.0030215,            0.009538,            0.009538,            0.009538
                  16,             0.02635,           0.0098992,           0.0036265,             0.96546,             0.90081,             0.96252,             0.75872,             0.01806,           0.0057001,           0.0029559,            0.009505,            0.009505,            0.009505
                  17,            0.025753,           0.0097848,           0.0036952,             0.97773,             0.88154,             0.95322,             0.76011,            0.016641,           0.0058458,           0.0028183,            0.009472,            0.009472,            0.009472
                  18,            0.025552,           0.0096523,           0.0035222,             0.96565,             0.92073,             0.95879,             0.75401,            0.018695,           0.0061069,            0.002216,            0.009439,            0.009439,            0.009439
                  19,            0.025139,           0.0096928,           0.0035163,             0.97197,             0.91068,             0.96116,             0.77677,             0.01598,           0.0056624,           0.0018775,            0.009406,            0.009406,            0.009406
                  20,            0.024586,           0.0093877,           0.0035631,             0.86152,             0.92283,             0.94854,             0.76891,            0.016674,           0.0069499,           0.0022498,            0.009373,            0.009373,            0.009373
                  21,            0.024305,           0.0096714,           0.0035832,             0.98351,             0.90278,             0.96569,              0.7876,            0.015593,           0.0053539,           0.0023284,             0.00934,             0.00934,             0.00934
                  22,            0.023921,           0.0095413,            0.003257,             0.94161,              0.9435,             0.97139,             0.80885,            0.014964,           0.0051198,           0.0019952,            0.009307,            0.009307,            0.009307
                  23,             0.02341,           0.0092522,           0.0030857,             0.98267,             0.90783,             0.96493,             0.79292,            0.015101,           0.0052474,           0.0018677,            0.009274,            0.009274,            0.009274
                  24,            0.023041,           0.0091633,           0.0030235,             0.98185,             0.90659,             0.95306,             0.78641,            0.014983,           0.0053511,           0.0019965,            0.009241,            0.009241,            0.009241
                  25,            0.023111,           0.0089622,           0.0031884,             0.98588,             0.91973,             0.97379,             0.80283,            0.014526,           0.0051098,           0.0018293,            0.009208,            0.009208,            0.009208
