               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089304,            0.029224,            0.037607,             0.28986,             0.40899,             0.28873,             0.12302,            0.061654,            0.015338,            0.034719,            0.070275,           0.0033028,           0.0033028
                   1,            0.058143,            0.018964,            0.031278,             0.47659,             0.62476,              0.5041,             0.17937,             0.05836,            0.010851,            0.023256,            0.040253,           0.0066142,           0.0066142
                   2,            0.059016,             0.01566,            0.013594,             0.78665,             0.77218,             0.83669,             0.30959,            0.050538,           0.0093985,           0.0041462,            0.010209,           0.0099036,           0.0099036
                   3,            0.049074,             0.01377,            0.005999,             0.87705,             0.81924,             0.90129,             0.55098,            0.034429,           0.0081096,           0.0030064,            0.009901,            0.009901,            0.009901
                   4,            0.041645,            0.012881,           0.0047292,              0.9592,             0.90881,             0.95495,             0.61693,            0.031379,           0.0078197,           0.0023113,            0.009901,            0.009901,            0.009901
                   5,            0.038016,             0.01207,           0.0039555,             0.96986,             0.94224,             0.97065,             0.69035,            0.025619,           0.0070326,           0.0017738,            0.009868,            0.009868,            0.009868
                   6,            0.035152,            0.011571,           0.0034249,             0.98101,              0.9445,             0.96778,              0.6604,             0.02486,           0.0068481,           0.0014663,            0.009835,            0.009835,            0.009835
                   7,            0.033248,            0.011325,           0.0031148,             0.97134,             0.94196,             0.96823,             0.70421,             0.02329,           0.0066795,           0.0020877,            0.009802,            0.009802,            0.009802
                   8,            0.031861,            0.011182,           0.0029815,             0.97756,             0.89216,             0.97163,             0.68793,            0.022576,           0.0067468,           0.0015012,            0.009769,            0.009769,            0.009769
                   9,            0.030825,            0.010761,           0.0028785,             0.97477,             0.95083,             0.96803,             0.71695,            0.022014,           0.0063794,           0.0014223,            0.009736,            0.009736,            0.009736
                  10,            0.029733,            0.010451,           0.0029317,             0.98708,             0.94253,             0.96924,             0.74587,            0.020072,           0.0060563,           0.0012581,            0.009703,            0.009703,            0.009703
                  11,            0.028859,            0.010286,           0.0025932,             0.98248,              0.9535,             0.97625,             0.75785,             0.01823,           0.0059352,           0.0016473,             0.00967,             0.00967,             0.00967
                  12,            0.028108,            0.010198,           0.0028102,             0.98658,             0.95693,             0.97882,             0.75775,            0.018006,           0.0057664,           0.0011174,            0.009637,            0.009637,            0.009637
                  13,            0.027729,            0.009902,           0.0024539,             0.98462,             0.95818,             0.97189,             0.77287,            0.017513,           0.0056746,           0.0011868,            0.009604,            0.009604,            0.009604
                  14,             0.02721,           0.0099205,           0.0022057,             0.98398,             0.96684,             0.98273,             0.77408,            0.018009,            0.005708,           0.0011444,            0.009571,            0.009571,            0.009571
                  15,            0.025871,           0.0095122,           0.0024549,             0.98736,              0.9457,             0.97414,             0.77126,            0.016814,           0.0055809,           0.0012452,            0.009538,            0.009538,            0.009538
                  16,            0.026007,           0.0098935,           0.0021187,             0.98855,             0.96336,             0.98402,             0.78222,            0.017304,           0.0055172,           0.0012067,            0.009505,            0.009505,            0.009505
                  17,            0.024907,           0.0095097,           0.0023107,             0.97558,             0.94432,             0.97305,             0.79057,            0.016141,           0.0057189,           0.0019023,            0.009472,            0.009472,            0.009472
