               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11085,            0.048408,            0.041706,           0.0018293,             0.38519,           0.0054703,             0.00148,             0.07609,            0.018433,            0.038049,               0.091,               0.001,               0.001
                   1,            0.090338,            0.053557,            0.039903,            0.058071,             0.85185,             0.22229,            0.073764,            0.061705,            0.015398,            0.033472,            0.081096,           0.0020958,           0.0020958
                   2,            0.076071,            0.057264,             0.03771,             0.11713,             0.37037,             0.17029,            0.068206,            0.055784,            0.019746,            0.034671,            0.071187,           0.0031873,           0.0031873
                   3,            0.064992,            0.052737,            0.036751,             0.12582,              0.4558,             0.27626,            0.088269,            0.045965,            0.019529,            0.032748,            0.061274,           0.0042745,           0.0042745
                   4,             0.06033,            0.052917,            0.036257,             0.10936,             0.57037,             0.17312,             0.07213,            0.052317,            0.014252,            0.034735,            0.051357,           0.0053572,           0.0053572
                   5,            0.058673,            0.050109,            0.035629,             0.15595,             0.37215,             0.27083,            0.085173,            0.053374,            0.012229,            0.032858,            0.041436,           0.0064357,           0.0064357
                   6,            0.057403,            0.047848,            0.035709,             0.13422,             0.64444,              0.2311,            0.097008,            0.046681,            0.011619,            0.031961,             0.03151,           0.0075097,           0.0075097
                   7,            0.057248,            0.049778,            0.035388,             0.22584,             0.21481,             0.23664,            0.089171,            0.046312,            0.012388,            0.032034,            0.021579,           0.0085794,           0.0085794
                   8,            0.054551,             0.04425,            0.035327,             0.19403,             0.42222,             0.27081,             0.10336,            0.041505,            0.012698,            0.031165,            0.011645,           0.0096448,           0.0096448
                   9,            0.051433,            0.046602,            0.035329,             0.23473,              0.2105,             0.13065,            0.043998,            0.055449,            0.012529,            0.032547,           0.0098218,           0.0098218,           0.0098218
                  10,            0.047703,            0.046022,            0.034954,             0.13616,             0.34444,             0.15262,            0.076419,            0.039324,            0.013275,            0.030963,           0.0098218,           0.0098218,           0.0098218
                  11,            0.045764,            0.044178,            0.034908,             0.17321,             0.35556,             0.18776,            0.083241,            0.039632,            0.012954,            0.031778,            0.009802,            0.009802,            0.009802
                  12,            0.043352,            0.045242,            0.034838,             0.11792,             0.18519,             0.12596,            0.051326,            0.040508,            0.017029,            0.030597,           0.0097822,           0.0097822,           0.0097822
                  13,            0.041382,            0.042399,             0.03466,             0.16792,              0.2037,             0.25475,              0.1583,            0.030816,            0.013331,            0.027956,           0.0097624,           0.0097624,           0.0097624
                  14,            0.041359,            0.041924,            0.034879,             0.17709,             0.53131,             0.22172,             0.10008,            0.036284,            0.014362,             0.03051,           0.0097426,           0.0097426,           0.0097426
                  15,            0.037437,            0.041414,            0.034433,             0.30845,             0.36831,             0.42095,             0.23182,            0.029715,             0.01252,            0.030217,           0.0097228,           0.0097228,           0.0097228
                  16,            0.038786,            0.039256,            0.033691,             0.20187,             0.42222,             0.23878,             0.12989,            0.029862,            0.014199,            0.027328,            0.009703,            0.009703,            0.009703
                  17,            0.037314,            0.038388,            0.033413,             0.26125,             0.21481,             0.23861,             0.14315,            0.037062,            0.017416,            0.026395,           0.0096832,           0.0096832,           0.0096832
                  18,            0.037103,            0.038617,            0.033023,             0.24901,             0.37407,              0.3078,             0.16203,            0.033155,            0.015069,            0.021295,           0.0096634,           0.0096634,           0.0096634
