               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10148,            0.028864,            0.041324,           0.0033245,             0.97436,             0.20169,            0.056906,            0.045318,            0.013907,            0.026385,              0.0856,              0.0016,              0.0016
                   1,            0.069518,             0.02592,            0.037006,             0.23056,             0.54991,             0.28106,             0.09989,            0.032092,            0.011511,            0.025891,            0.070293,           0.0032935,           0.0032935
                   2,            0.056085,            0.021506,            0.035004,             0.25515,             0.60057,             0.43011,             0.16227,            0.032953,             0.00879,            0.023712,             0.05498,           0.0049802,           0.0049802
                   3,            0.049087,            0.018941,            0.032689,             0.49097,             0.57644,             0.47296,             0.27079,            0.037345,           0.0060658,            0.020856,             0.03966,           0.0066602,           0.0066602
                   4,            0.051646,            0.017808,            0.026198,             0.73714,             0.51017,             0.54945,             0.27372,            0.043179,            0.004909,            0.014095,            0.024333,           0.0083335,           0.0083335
                   5,             0.05487,            0.014654,            0.018388,             0.56055,             0.78205,             0.71604,             0.34377,            0.029956,           0.0044041,           0.0061123,            0.009901,            0.009901,            0.009901
                   6,             0.04996,            0.013029,            0.013111,             0.73587,             0.81248,             0.86737,             0.44666,            0.031072,            0.003952,           0.0031448,            0.009901,            0.009901,            0.009901
                   7,            0.048293,            0.011885,           0.0087848,             0.62086,             0.78434,             0.73482,             0.47735,            0.036209,           0.0042574,           0.0035019,           0.0098812,           0.0098812,           0.0098812
                   8,            0.043794,            0.011579,           0.0078748,             0.69578,              0.9255,             0.81485,             0.46549,            0.023635,           0.0038528,           0.0020319,           0.0098614,           0.0098614,           0.0098614
                   9,             0.04031,            0.011152,            0.007121,             0.80093,             0.94169,             0.95067,              0.6313,             0.02259,           0.0039852,           0.0014331,           0.0098416,           0.0098416,           0.0098416
                  10,            0.037509,           0.0098131,            0.006012,             0.85423,             0.83819,             0.89888,             0.58367,             0.02496,           0.0035238,           0.0084938,           0.0098218,           0.0098218,           0.0098218
                  11,            0.037562,           0.0094857,           0.0069278,             0.89434,             0.87528,             0.94854,             0.70743,            0.019249,           0.0033803,           0.0038361,            0.009802,            0.009802,            0.009802
                  12,            0.035664,           0.0099437,           0.0072501,             0.71676,             0.83153,             0.89713,             0.62979,            0.020979,           0.0049846,            0.005777,           0.0097822,           0.0097822,           0.0097822
                  13,            0.034277,            0.010448,           0.0075479,             0.92257,             0.91268,             0.97741,             0.74458,            0.013743,           0.0037227,           0.0027386,           0.0097624,           0.0097624,           0.0097624
                  14,            0.031724,           0.0094052,           0.0066762,             0.98123,             0.84313,             0.97604,             0.71447,            0.019431,           0.0047979,           0.0013152,           0.0097426,           0.0097426,           0.0097426
                  15,            0.032838,           0.0093299,           0.0054191,             0.88818,             0.89061,             0.94924,             0.60655,            0.022029,           0.0042753,           0.0037388,           0.0097228,           0.0097228,           0.0097228
                  16,            0.031501,           0.0090918,           0.0054813,             0.92479,                   1,             0.98875,             0.74625,            0.014188,           0.0039356,           0.0016005,            0.009703,            0.009703,            0.009703
                  17,            0.032535,           0.0090622,           0.0037934,             0.89811,             0.96651,             0.98763,             0.72833,            0.015587,           0.0033715,            0.002326,           0.0096832,           0.0096832,           0.0096832
                  18,            0.029849,           0.0086878,           0.0041666,             0.87638,             0.87912,             0.95447,             0.54732,            0.019604,           0.0033817,           0.0080109,           0.0096634,           0.0096634,           0.0096634
                  19,            0.031393,           0.0087042,           0.0050422,             0.98728,              0.9218,             0.96043,             0.69686,            0.015999,           0.0041041,           0.0029926,           0.0096436,           0.0096436,           0.0096436
                  20,            0.030058,           0.0085483,           0.0047369,             0.96672,             0.99126,               0.995,              0.7249,            0.017375,           0.0031736,            0.001086,           0.0096238,           0.0096238,           0.0096238
                  21,            0.029907,           0.0087296,           0.0048772,             0.96295,                   1,               0.995,             0.77704,            0.016157,           0.0030618,            0.001252,            0.009604,            0.009604,            0.009604
