               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095557,            0.032863,            0.038782,              0.1832,             0.37505,             0.17361,            0.063332,            0.077246,            0.024115,            0.035408,            0.070476,           0.0032804,           0.0032804
                   1,            0.062385,            0.024815,            0.033197,             0.35913,             0.48761,              0.3588,              0.1515,            0.060666,            0.014315,            0.029267,             0.04046,           0.0065974,           0.0065974
                   2,            0.061089,            0.021486,            0.026133,             0.28523,             0.56734,             0.32841,             0.12379,            0.063426,            0.013712,             0.02227,            0.010427,           0.0098979,           0.0098979
                   3,            0.052057,            0.019187,            0.021822,             0.67325,             0.68754,             0.71748,             0.27384,            0.046294,            0.012022,            0.019633,           0.0099258,           0.0099258,           0.0099258
                   4,              0.0449,            0.017636,            0.017641,             0.86518,             0.77214,             0.87609,             0.45666,             0.03815,            0.010548,            0.014018,           0.0099258,           0.0099258,           0.0099258
                   5,            0.040852,            0.016837,            0.010397,             0.90529,               0.801,             0.89818,             0.54458,            0.032047,           0.0097551,           0.0095535,            0.009901,            0.009901,            0.009901
                   6,            0.038165,             0.01592,           0.0082709,             0.96454,             0.84738,             0.93054,             0.54663,            0.030894,           0.0094986,           0.0056617,           0.0098763,           0.0098763,           0.0098763
                   7,            0.036188,            0.015501,           0.0069155,             0.91547,             0.83281,             0.90051,             0.52594,             0.03247,           0.0096684,           0.0088732,           0.0098515,           0.0098515,           0.0098515
                   8,            0.034204,            0.015613,           0.0062527,             0.97415,             0.88524,             0.94423,             0.60355,            0.028842,           0.0092287,           0.0044211,           0.0098268,           0.0098268,           0.0098268
                   9,            0.033309,            0.015284,           0.0057968,             0.97602,             0.85815,             0.93189,             0.61322,            0.028216,           0.0091105,           0.0066951,            0.009802,            0.009802,            0.009802
                  10,            0.032012,            0.014813,           0.0053336,             0.96983,             0.89161,             0.94435,             0.68389,            0.022961,           0.0087223,           0.0046261,           0.0097773,           0.0097773,           0.0097773
