               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086512,            0.036264,             0.03753,             0.28322,             0.44218,             0.30877,              0.1284,            0.063567,            0.020794,            0.033279,            0.070476,           0.0032804,           0.0032804
                   1,            0.058502,             0.02461,            0.028265,             0.43588,             0.64194,             0.48586,             0.22299,            0.054556,            0.012504,            0.023726,             0.04046,           0.0065974,           0.0065974
                   2,            0.055029,            0.019428,            0.023127,             0.41723,             0.64538,             0.53528,             0.27223,            0.052581,            0.010921,            0.020377,            0.010427,           0.0098979,           0.0098979
                   3,            0.047007,            0.017037,            0.020576,             0.78881,             0.72535,             0.81684,              0.3514,            0.038329,            0.010037,            0.018267,           0.0099258,           0.0099258,           0.0099258
                   4,            0.040251,            0.015571,             0.01602,             0.92346,             0.85544,              0.9084,             0.49938,            0.033858,           0.0096292,           0.0091936,           0.0099258,           0.0099258,           0.0099258
                   5,            0.036454,             0.01479,           0.0085607,             0.93531,             0.89278,             0.93602,             0.59616,            0.031087,            0.008873,           0.0054385,            0.009901,            0.009901,            0.009901
                   6,            0.033987,            0.013865,           0.0059927,             0.96256,             0.90043,             0.94106,              0.6506,            0.025129,           0.0084629,           0.0044126,           0.0098763,           0.0098763,           0.0098763
                   7,            0.031816,             0.01362,           0.0055114,             0.96609,             0.91385,             0.94886,             0.65079,            0.025877,           0.0082169,           0.0037983,           0.0098515,           0.0098515,           0.0098515
                   8,            0.030181,            0.013649,           0.0047876,              0.9151,             0.84153,             0.91028,             0.61856,            0.026882,           0.0083246,            0.012047,           0.0098268,           0.0098268,           0.0098268
                   9,            0.029192,            0.013336,           0.0042243,             0.97144,             0.92832,             0.95418,             0.72868,            0.022804,           0.0077972,           0.0035621,            0.009802,            0.009802,            0.009802
